Index,Value
2.040000000000000000e+03,4.232010848600261284e+02
2.041000983284169024e+03,4.233031691184538658e+02
2.042001966568338275e+03,4.234037188575111372e+02
2.043002949852507300e+03,4.235037343211861867e+02
2.044003933136676551e+03,4.236042161369983887e+02
2.045004916420845575e+03,4.237061552986359629e+02
2.046005899705014826e+03,4.238105232455388318e+02
2.047006882989183850e+03,4.239182621387423637e+02
2.048007866273353102e+03,4.240302754303335746e+02
2.049008849557521899e+03,4.241474188209319891e+02
2.050009832841691150e+03,4.242704916957225691e+02
2.051010816125860401e+03,4.244002291247750804e+02
2.052011799410029653e+03,4.245372945077409668e+02
2.053012782694198449e+03,4.246822729365586042e+02
2.054013765978367701e+03,4.248356653426185403e+02
2.055014749262536952e+03,4.249978834869806974e+02
2.056015732546706204e+03,4.251692458437979099e+02
2.057016715830875000e+03,4.253499744181585243e+02
2.058017699115044252e+03,4.255401925302031714e+02
2.059018682399213503e+03,4.257399235877006163e+02
2.060019665683382300e+03,4.259490908593692211e+02
2.061020648967551551e+03,4.261675182512133233e+02
2.062021632251720803e+03,4.263949320781003394e+02
2.063022615535890054e+03,4.266309638128432198e+02
2.064023598820058851e+03,4.268751537852642741e+02
2.065024582104228102e+03,4.271269557942087545e+02
2.066025565388397354e+03,4.273857425863318440e+02
2.067026548672566150e+03,4.276508121468114041e+02
2.068027531956735402e+03,4.279213947390049952e+02
2.069028515240904653e+03,4.281966606225743703e+02
2.070029498525073905e+03,4.284757283728080779e+02
2.071030481809242701e+03,4.287576737178522990e+02
2.072031465093411953e+03,4.290415388053793890e+02
2.073032448377581204e+03,4.293263418059165133e+02
2.074033431661750456e+03,4.296110867566951583e+02
2.075034414945919252e+03,4.298947735474687306e+02
2.076035398230088504e+03,4.301764079483261867e+02
2.077036381514257755e+03,4.304550115791056442e+02
2.078037364798426552e+03,4.307296317206047434e+02
2.079038348082595803e+03,4.309993508693591480e+02
2.080039331366765055e+03,4.312632959403312611e+02
2.081040314650934306e+03,4.315206470253799580e+02
2.082041297935103103e+03,4.317706456198222895e+02
2.083042281219272354e+03,4.320126022347286607e+02
2.084043264503441605e+03,4.322459033187392379e+02
2.085044247787610402e+03,4.324700174201046252e+02
2.086045231071779654e+03,4.326845005272575690e+02
2.087046214355948905e+03,4.328890005344477458e+02
2.088047197640118156e+03,4.330832607877314899e+02
2.089048180924286953e+03,4.332671226758133685e+02
2.090049164208456205e+03,4.334405272398005309e+02
2.091050147492625456e+03,4.336035157857510285e+02
2.092051130776794707e+03,4.337562294938823015e+02
2.093052114060963504e+03,4.338989080283496378e+02
2.094053097345132755e+03,4.340318871615098146e+02
2.095054080629302007e+03,4.341555954364522449e+02
2.096055063913470804e+03,4.342705499012075734e+02
2.097056047197640055e+03,4.343773509573375122e+02
2.098057030481809306e+03,4.344766763744752325e+02
2.099058013765978558e+03,4.345692745307370615e+02
2.100058997050147354e+03,4.346559569466741664e+02
2.101059980334316606e+03,4.347375901875075215e+02
2.102060963618485857e+03,4.348150872147123778e+02
2.103061946902654654e+03,4.348893982735303325e+02
2.104062930186823905e+03,4.349615014076373427e+02
2.105063913470993157e+03,4.350323926959210894e+02
2.106064896755162408e+03,4.351030763091118843e+02
2.107065880039331205e+03,4.351745544858073345e+02
2.108066863323500456e+03,4.352478175282427060e+02
2.109067846607669708e+03,4.353238339179579270e+02
2.110068829891838959e+03,4.354035406503157901e+02
2.111069813176007756e+03,4.354878338846298220e+02
2.112070796460177007e+03,4.355775600035049706e+02
2.113071779744346259e+03,4.356735071708949363e+02
2.114072763028515055e+03,4.357763974733882719e+02
2.115073746312684307e+03,4.358868797233965324e+02
2.116074729596853558e+03,4.360055229962890735e+02
2.117075712881022810e+03,4.361328109661749863e+02
2.118076696165191606e+03,4.362691370970345019e+02
2.119077679449360858e+03,4.364148007373385099e+02
2.120078662733530109e+03,4.365700041572523560e+02
2.121079646017698906e+03,4.367348505580812912e+02
2.122080629301868157e+03,4.369093430738818711e+02
2.123081612586037409e+03,4.370933847752315842e+02
2.124082595870206660e+03,4.372867796751148717e+02
